イメージ,国・地域,%
バリアフリー環境が整っている,タイ,10.9
ハイテク産業が多い,タイ,12.8
ビジネス環境が整っている,タイ,4.5
交通網が発達している,タイ,25.7
食事がおいしい,タイ,45.8
食事のバリエーションが豊富である,タイ,12.1
観光案内所、観光ガイドが充実している,タイ,6.3
芸術が魅力的である,タイ,10.2
建造物が魅力的である,タイ,10.6
ファッション関係が魅力的である,タイ,15.5
ポップカルチャーが魅力的である,タイ,7.5
スポーツが魅力的である,タイ,2.4
商品が信頼できる、豊富で品質がよい,タイ,21.8
その他,タイ,1.6
具体的なイメージがない,タイ,0.2
無回答,タイ,0.8
人が親切,シンガポール,71.3
おもてなしの心がある,シンガポール,53.1
治安がよい,シンガポール,58.2
衛生的,シンガポール,72.2
先進的都市,シンガポール,35.6
自然・景勝地・夜景,シンガポール,23.1
伝統・文化,シンガポール,29.1
都市として多様な魅力がある,シンガポール,17.5
魅力的な繁華街が多い,シンガポール,29.8
魅力的な宿泊施設が多い,シンガポール,8.4
魅力的なレジャー施設・テーマパークが多い,シンガポール,8.4
バリアフリー環境が整っている,シンガポール,2.4
ハイテク産業が多い,シンガポール,7.9
ビジネス環境が整っている,シンガポール,3.9
交通網が発達している,シンガポール,18.1
食事がおいしい,シンガポール,62.7
食事のバリエーションが豊富である,シンガポール,14.0
観光案内所、観光ガイドが充実している,シンガポール,3.8
芸術が魅力的である,シンガポール,4.6
建造物が魅力的である,シンガポール,8.4
ファッション関係が魅力的である,シンガポール,13.7
ポップカルチャーが魅力的である,シンガポール,7.9
スポーツが魅力的である,シンガポール,2.1
商品が信頼できる、豊富で品質がよい,シンガポール,15.4
その他,シンガポール,1.2
具体的なイメージがない,シンガポール,0.0
無回答,シンガポール,0.0
人が親切,マレーシア,80.2
おもてなしの心がある,マレーシア,51.4
治安がよい,マレーシア,56.1
衛生的,マレーシア,68.8
先進的都市,マレーシア,49.5
自然・景勝地・夜景,マレーシア,24.0
伝統・文化,マレーシア,34.2
都市として多様な魅力がある,マレーシア,13.8
魅力的な繁華街が多い,マレーシア,22.0
魅力的な宿泊施設が多い,マレーシア,7.8
魅力的なレジャー施設・テーマパークが多い,マレーシア,7.4
バリアフリー環境が整っている,マレーシア,2.8
ハイテク産業が多い,マレーシア,16.8
ビジネス環境が整っている,マレーシア,5.4
交通網が発達している,マレーシア,24.5
食事がおいしい,マレーシア,49.8
食事のバリエーションが豊富である,マレーシア,14.8
観光案内所、観光ガイドが充実している,マレーシア,5.6
芸術が魅力的である,マレーシア,9.1
建造物が魅力的である,マレーシア,7.9
ファッション関係が魅力的である,マレーシア,16.1
ポップカルチャーが魅力的である,マレーシア,6.5
スポーツが魅力的である,マレーシア,2.6
商品が信頼できる、豊富で品質がよい,マレーシア,7.6
その他,マレーシア,3.7
具体的なイメージがない,マレーシア,0.0
無回答,マレーシア,0.3
人が親切,米国,77.7
おもてなしの心がある,米国,58.5
治安がよい,米国,67.5
衛生的,米国,50.8
先進的都市,米国,39.9
自然・景勝地・夜景,米国,23.1
伝統・文化,米国,46.8
都市として多様な魅力がある,米国,25.3
魅力的な繁華街が多い,米国,23.0
魅力的な宿泊施設が多い,米国,11.0
魅力的なレジャー施設・テーマパークが多い,米国,6.8
バリアフリー環境が整っている,米国,5.4
ハイテク産業が多い,米国,11.0
ビジネス環境が整っている,米国,9.0
交通網が発達している,米国,18.5
食事がおいしい,米国,58.0
食事のバリエーションが豊富である,米国,19.8
観光案内所、観光ガイドが充実している,米国,6.7
芸術が魅力的である,米国,7.7
建造物が魅力的である,米国,13.2
ファッション関係が魅力的である,米国,11.0
ポップカルチャーが魅力的である,米国,12.9
スポーツが魅力的である,米国,3.0
商品が信頼できる、豊富で品質がよい,米国,7.1
その他,米国,2.7
具体的なイメージがない,米国,0.2
無回答,米国,0.4
人が親切,カナダ,78.5
おもてなしの心がある,カナダ,51.5
治安がよい,カナダ,58.1
衛生的,カナダ,52.3
先進的都市,カナダ,44.1
自然・景勝地・夜景,カナダ,24.2
伝統・文化,カナダ,50.7
都市として多様な魅力がある,カナダ,22.5
魅力的な繁華街が多い,カナダ,31.1
魅力的な宿泊施設が多い,カナダ,9.7
魅力的なレジャー施設・テーマパークが多い,カナダ,9.8
バリアフリー環境が整っている,カナダ,6.4
ハイテク産業が多い,カナダ,9.2
ビジネス環境が整っている,カナダ,4.8
交通網が発達している,カナダ,20.4
食事がおいしい,カナダ,60.3
食事のバリエーションが豊富である,カナダ,20.6
観光案内所、観光ガイドが充実している,カナダ,8.3
芸術が魅力的である,カナダ,9.6
建造物が魅力的である,カナダ,14.0
ファッション関係が魅力的である,カナダ,12.5
ポップカルチャーが魅力的である,カナダ,15.2
スポーツが魅力的である,カナダ,5.6
商品が信頼できる、豊富で品質がよい,カナダ,8.8
その他,カナダ,0.7
具体的なイメージがない,カナダ,0.4
無回答,カナダ,0.3
人が親切,英国,76.8
おもてなしの心がある,英国,61.7
治安がよい,英国,67.1
衛生的,英国,51.7
先進的都市,英国,34.1
自然・景勝地・夜景,英国,21.8
伝統・文化,英国,48.8
都市として多様な魅力がある,英国,25.2
魅力的な繁華街が多い,英国,18.6
魅力的な宿泊施設が多い,英国,6.8
魅力的なレジャー施設・テーマパークが多い,英国,8.5
バリアフリー環境が整っている,英国,4.2
ハイテク産業が多い,英国,7.5
ビジネス環境が整っている,英国,6.6
交通網が発達している,英国,15.7
食事がおいしい,英国,55.3
食事のバリエーションが豊富である,英国,22.3
観光案内所、観光ガイドが充実している,英国,6.3
芸術が魅力的である,英国,6.0
建造物が魅力的である,英国,14.0
ファッション関係が魅力的である,英国,9.8
ポップカルチャーが魅力的である,英国,10.7
スポーツが魅力的である,英国,2.2
商品が信頼できる、豊富で品質がよい,英国,8.6
その他,英国,2.0
具体的なイメージがない,英国,0.0
無回答,英国,0.0
人が親切,ドイツ,76.6
おもてなしの心がある,ドイツ,45.2
治安がよい,ドイツ,61.7
衛生的,ドイツ,62.4
先進的都市,ドイツ,31.4
自然・景勝地・夜景,ドイツ,12.1
伝統・文化,ドイツ,42.7
都市として多様な魅力がある,ドイツ,25.8
魅力的な繁華街が多い,ドイツ,22.8
魅力的な宿泊施設が多い,ドイツ,5.1
魅力的なレジャー施設・テーマパークが多い,ドイツ,2.4
バリアフリー環境が整っている,ドイツ,4.0
ハイテク産業が多い,ドイツ,13.9
ビジネス環境が整っている,ドイツ,9.1
交通網が発達している,ドイツ,33.5
食事がおいしい,ドイツ,54.7
食事のバリエーションが豊富である,ドイツ,24.8
観光案内所、観光ガイドが充実している,ドイツ,2.8
芸術が魅力的である,ドイツ,6.2
建造物が魅力的である,ドイツ,19.2
ファッション関係が魅力的である,ドイツ,9.2
ポップカルチャーが魅力的である,ドイツ,8.1
スポーツが魅力的である,ドイツ,1.1
商品が信頼できる、豊富で品質がよい,ドイツ,4.4
その他,ドイツ,4.0
具体的なイメージがない,ドイツ,0.5
無回答,ドイツ,0.0
人が親切,フランス,70.6
おもてなしの心がある,フランス,56.4
治安がよい,フランス,54.5
衛生的,フランス,63.7
先進的都市,フランス,26.9
自然・景勝地・夜景,フランス,20.6
伝統・文化,フランス,54.9
都市として多様な魅力がある,フランス,25.0
魅力的な繁華街が多い,フランス,26.9
魅力的な宿泊施設が多い,フランス,7.7
魅力的なレジャー施設・テーマパークが多い,フランス,6.9
バリアフリー環境が整っている,フランス,6.5
ハイテク産業が多い,フランス,5.0
ビジネス環境が整っている,フランス,2.7
交通網が発達している,フランス,28.6
食事がおいしい,フランス,53.3
食事のバリエーションが豊富である,フランス,25.2
観光案内所、観光ガイドが充実している,フランス,6.2
芸術が魅力的である,フランス,8.5
建造物が魅力的である,フランス,18.5
ファッション関係が魅力的である,フランス,10.5
ポップカルチャーが魅力的である,フランス,20.3
スポーツが魅力的である,フランス,1.2
商品が信頼できる、豊富で品質がよい,フランス,6.5
その他,フランス,1.5
具体的なイメージがない,フランス,0.0
無回答,フランス,0.6
人が親切,イタリア,72.4
おもてなしの心がある,イタリア,54.3
治安がよい,イタリア,56.8
衛生的,イタリア,57.8
先進的都市,イタリア,45.3
自然・景勝地・夜景,イタリア,21.8
伝統・文化,イタリア,49.8
都市として多様な魅力がある,イタリア,19.8
魅力的な繁華街が多い,イタリア,29.9
魅力的な宿泊施設が多い,イタリア,5.9
魅力的なレジャー施設・テーマパークが多い,イタリア,3.3
バリアフリー環境が整っている,イタリア,6.2
ハイテク産業が多い,イタリア,7.0
ビジネス環境が整っている,イタリア,7.8
交通網が発達している,イタリア,33.6
食事がおいしい,イタリア,40.2
食事のバリエーションが豊富である,イタリア,15.7
観光案内所、観光ガイドが充実している,イタリア,2.9
芸術が魅力的である,イタリア,9.7
建造物が魅力的である,イタリア,10.8
ファッション関係が魅力的である,イタリア,6.8
ポップカルチャーが魅力的である,イタリア,13.1
スポーツが魅力的である,イタリア,3.8
商品が信頼できる、豊富で品質がよい,イタリア,4.9
その他,イタリア,0.4
具体的なイメージがない,イタリア,0.0
無回答,イタリア,1.1
人が親切,スペイン,77.7
おもてなしの心がある,スペイン,50.8
治安がよい,スペイン,64.0
衛生的,スペイン,57.7
先進的都市,スペイン,35.6
自然・景勝地・夜景,スペイン,18.9
伝統・文化,スペイン,45.4
都市として多様な魅力がある,スペイン,21.6
魅力的な繁華街が多い,スペイン,25.3
魅力的な宿泊施設が多い,スペイン,6.8
魅力的なレジャー施設・テーマパークが多い,スペイン,8.0
バリアフリー環境が整っている,スペイン,7.2
ハイテク産業が多い,スペイン,12.0
ビジネス環境が整っている,スペイン,8.5
交通網が発達している,スペイン,22.5
食事がおいしい,スペイン,49.7
食事のバリエーションが豊富である,スペイン,15.2
観光案内所、観光ガイドが充実している,スペイン,5.7
芸術が魅力的である,スペイン,4.5
建造物が魅力的である,スペイン,21.9
ファッション関係が魅力的である,スペイン,7.0
ポップカルチャーが魅力的である,スペイン,8.6
スポーツが魅力的である,スペイン,1.4
商品が信頼できる、豊富で品質がよい,スペイン,8.3
その他,スペイン,2.6
具体的なイメージがない,スペイン,0.0
無回答,スペイン,0.0
人が親切,オーストラリア,80.4
おもてなしの心がある,オーストラリア,52.0
治安がよい,オーストラリア,65.0
衛生的,オーストラリア,51.6
先進的都市,オーストラリア,36.3
自然・景勝地・夜景,オーストラリア,19.1
伝統・文化,オーストラリア,43.0
都市として多様な魅力がある,オーストラリア,20.5
魅力的な繁華街が多い,オーストラリア,23.8
魅力的な宿泊施設が多い,オーストラリア,4.7
魅力的なレジャー施設・テーマパークが多い,オーストラリア,7.4
バリアフリー環境が整っている,オーストラリア,2.9
ハイテク産業が多い,オーストラリア,7.9
ビジネス環境が整っている,オーストラリア,4.6
交通網が発達している,オーストラリア,16.0
食事がおいしい,オーストラリア,56.0
食事のバリエーションが豊富である,オーストラリア,19.5
観光案内所、観光ガイドが充実している,オーストラリア,6.0
芸術が魅力的である,オーストラリア,6.3
建造物が魅力的である,オーストラリア,9.2
ファッション関係が魅力的である,オーストラリア,10.5
ポップカルチャーが魅力的である,オーストラリア,15.8
スポーツが魅力的である,オーストラリア,3.9
商品が信頼できる、豊富で品質がよい,オーストラリア,7.3
その他,オーストラリア,2.3
具体的なイメージがない,オーストラリア,0.0
無回答,オーストラリア,0.0
人が親切,インド,80.1
おもてなしの心がある,インド,65.8
治安がよい,インド,70.6
衛生的,インド,70.6
先進的都市,インド,67.2
自然・景勝地・夜景,インド,23.5
伝統・文化,インド,36.8
都市として多様な魅力がある,インド,15.5
魅力的な繁華街が多い,インド,18.3
魅力的な宿泊施設が多い,インド,7.8
魅力的なレジャー施設・テーマパークが多い,インド,7.7
バリアフリー環境が整っている,インド,5.9
ハイテク産業が多い,インド,16.4
ビジネス環境が整っている,インド,11.8
交通網が発達している,インド,41.4
食事がおいしい,インド,23.9
食事のバリエーションが豊富である,インド,15.7
観光案内所、観光ガイドが充実している,インド,8.1
芸術が魅力的である,インド,7.5
建造物が魅力的である,インド,21.4
ファッション関係が魅力的である,インド,11.1
ポップカルチャーが魅力的である,インド,4.3
スポーツが魅力的である,インド,3.1
商品が信頼できる、豊富で品質がよい,インド,14.5
その他,インド,1.9
具体的なイメージがない,インド,0.0
無回答,インド,0.7
人が親切,インドネシア,66.9
おもてなしの心がある,インドネシア,52.8
治安がよい,インドネシア,60.9
衛生的,インドネシア,62.0
先進的都市,インドネシア,40.1
自然・景勝地・夜景,インドネシア,19.8
伝統・文化,インドネシア,44.5
都市として多様な魅力がある,インドネシア,17.2
魅力的な繁華街が多い,インドネシア,26.7
魅力的な宿泊施設が多い,インドネシア,12.9
魅力的なレジャー施設・テーマパークが多い,インドネシア,12.3
バリアフリー環境が整っている,インドネシア,5.5
ハイテク産業が多い,インドネシア,17.7
ビジネス環境が整っている,インドネシア,5.6
交通網が発達している,インドネシア,26.8
食事がおいしい,インドネシア,40.6
食事のバリエーションが豊富である,インドネシア,16.6
観光案内所、観光ガイドが充実している,インドネシア,5.1
芸術が魅力的である,インドネシア,5.6
建造物が魅力的である,インドネシア,10.7
ファッション関係が魅力的である,インドネシア,13.6
ポップカルチャーが魅力的である,インドネシア,8.1
スポーツが魅力的である,インドネシア,2.3
商品が信頼できる、豊富で品質がよい,インドネシア,12.6
その他,インドネシア,1.8
具体的なイメージがない,インドネシア,0.0
無回答,インドネシア,0.4
人が親切,フィリピン,84.6
おもてなしの心がある,フィリピン,57.2
治安がよい,フィリピン,72.7
衛生的,フィリピン,57.3
先進的都市,フィリピン,41.6
自然・景勝地・夜景,フィリピン,29.1
伝統・文化,フィリピン,32.1
都市として多様な魅力がある,フィリピン,14.5
魅力的な繁華街が多い,フィリピン,27.6
魅力的な宿泊施設が多い,フィリピン,10.3
魅力的なレジャー施設・テーマパークが多い,フィリピン,10.0
バリアフリー環境が整っている,フィリピン,3.4
ハイテク産業が多い,フィリピン,18.6
ビジネス環境が整っている,フィリピン,5.9
交通網が発達している,フィリピン,16.2
食事がおいしい,フィリピン,59.4
食事のバリエーションが豊富である,フィリピン,14.5
観光案内所、観光ガイドが充実している,フィリピン,5.8
芸術が魅力的である,フィリピン,5.8
建造物が魅力的である,フィリピン,9.9
ファッション関係が魅力的である,フィリピン,9.2
ポップカルチャーが魅力的である,フィリピン,5.1
スポーツが魅力的である,フィリピン,2.2
商品が信頼できる、豊富で品質がよい,フィリピン,7.8
その他,フィリピン,1.5
具体的なイメージがない,フィリピン,0.0
無回答,フィリピン,0.4
人が親切,ベトナム,80.0
おもてなしの心がある,ベトナム,56.3
治安がよい,ベトナム,78.1
衛生的,ベトナム,84.3
先進的都市,ベトナム,53.1
自然・景勝地・夜景,ベトナム,21.4
伝統・文化,ベトナム,25.0
都市として多様な魅力がある,ベトナム,9.7
魅力的な繁華街が多い,ベトナム,20.4
魅力的な宿泊施設が多い,ベトナム,7.6
魅力的なレジャー施設・テーマパークが多い,ベトナム,7.6
バリアフリー環境が整っている,ベトナム,18.2
ハイテク産業が多い,ベトナム,17.5
ビジネス環境が整っている,ベトナム,11.0
交通網が発達している,ベトナム,39.0
食事がおいしい,ベトナム,26.9
食事のバリエーションが豊富である,ベトナム,12.0
観光案内所、観光ガイドが充実している,ベトナム,7.1
芸術が魅力的である,ベトナム,3.7
建造物が魅力的である,ベトナム,14.2
ファッション関係が魅力的である,ベトナム,8.2
ポップカルチャーが魅力的である,ベトナム,6.8
スポーツが魅力的である,ベトナム,2.2
商品が信頼できる、豊富で品質がよい,ベトナム,29.3
その他,ベトナム,0.0
具体的なイメージがない,ベトナム,0.5
無回答,ベトナム,0.0
人が親切,ロシア,74.5
おもてなしの心がある,ロシア,58.7
治安がよい,ロシア,51.1
衛生的,ロシア,61.9
先進的都市,ロシア,39.8
自然・景勝地・夜景,ロシア,27.6
伝統・文化,ロシア,41.4
都市として多様な魅力がある,ロシア,18.4
魅力的な繁華街が多い,ロシア,23.5
魅力的な宿泊施設が多い,ロシア,6.4
魅力的なレジャー施設・テーマパークが多い,ロシア,13.2
バリアフリー環境が整っている,ロシア,12.1
ハイテク産業が多い,ロシア,19.9
ビジネス環境が整っている,ロシア,7.0
交通網が発達している,ロシア,33.7
食事がおいしい,ロシア,44.7
食事のバリエーションが豊富である,ロシア,16.1
観光案内所、観光ガイドが充実している,ロシア,4.6
芸術が魅力的である,ロシア,8.7
建造物が魅力的である,ロシア,18.3
ファッション関係が魅力的である,ロシア,12.9
ポップカルチャーが魅力的である,ロシア,7.6
スポーツが魅力的である,ロシア,4.8
商品が信頼できる、豊富で品質がよい,ロシア,19.0
その他,ロシア,1.1
具体的なイメージがない,ロシア,0.0
無回答,ロシア,0.0
人が親切,その他,82.4
おもてなしの心がある,その他,52.8
治安がよい,その他,70.3
衛生的,その他,58.5
先進的都市,その他,38.6
自然・景勝地・夜景,その他,20.1
伝統・文化,その他,41.8
都市として多様な魅力がある,その他,23.3
魅力的な繁華街が多い,その他,23.3
魅力的な宿泊施設が多い,その他,9.0
魅力的なレジャー施設・テーマパークが多い,その他,7.2
バリアフリー環境が整っている,その他,5.6
ハイテク産業が多い,その他,9.7
ビジネス環境が整っている,その他,3.6
交通網が発達している,その他,31.9
食事がおいしい,その他,43.2
食事のバリエーションが豊富である,その他,22.4
観光案内所、観光ガイドが充実している,その他,9.9
芸術が魅力的である,その他,6.4
建造物が魅力的である,その他,19.5
ファッション関係が魅力的である,その他,5.9
ポップカルチャーが魅力的である,その他,9.1
スポーツが魅力的である,その他,3.5
商品が信頼できる、豊富で品質がよい,その他,9.6
その他,その他,2.5
具体的なイメージがない,その他,0.0
無回答,その他,1.1
