一番満足した場所で行った活動,場所,%
ナイトライフを楽しむ,築地,0.0
その他,築地,0.9
日本食を楽しむ,原宿・表参道・青山,7.2
日本食以外の料理を楽しむ,原宿・表参道・青山,1.1
電気製品のショッピング,原宿・表参道・青山,0.9
服・服飾雑貨のショッピング,原宿・表参道・青山,44.6
日用雑貨、化粧品、食品、菓子類のショッピング,原宿・表参道・青山,9.9
その他のショッピング,原宿・表参道・青山,5.3
伝統文化の見学,原宿・表参道・青山,0.8
伝統文化の体験,原宿・表参道・青山,0.6
伝統建築の見学,原宿・表参道・青山,8.7
最新の日本文化に触れる,原宿・表参道・青山,4.1
高層ビル、近代的な街並み・景観・建築物の探索,原宿・表参道・青山,12.0
美術館・博物館の探索,原宿・表参道・青山,0.3
ウォーターフロント、夜景などの探索,原宿・表参道・青山,0.5
自然を感じる,原宿・表参道・青山,1.2
テーマパーク、レジャー施設で遊ぶ,原宿・表参道・青山,0.3
室内型アミューズメント施設で遊ぶ,原宿・表参道・青山,0.0
スポーツをする・観戦する,原宿・表参道・青山,0.2
スパ・エステ,原宿・表参道・青山,0.0
宿泊施設での滞在を楽しむ,原宿・表参道・青山,0.6
ナイトライフを楽しむ,原宿・表参道・青山,0.8
その他,原宿・表参道・青山,1.1
日本食を楽しむ,渋谷,15.8
日本食以外の料理を楽しむ,渋谷,0.8
電気製品のショッピング,渋谷,1.8
服・服飾雑貨のショッピング,渋谷,32.3
日用雑貨、化粧品、食品、菓子類のショッピング,渋谷,11.7
その他のショッピング,渋谷,5.4
伝統文化の見学,渋谷,0.3
伝統文化の体験,渋谷,0.4
伝統建築の見学,渋谷,2.0
最新の日本文化に触れる,渋谷,3.1
高層ビル、近代的な街並み・景観・建築物の探索,渋谷,12.4
美術館・博物館の探索,渋谷,0.3
ウォーターフロント、夜景などの探索,渋谷,0.1
自然を感じる,渋谷,0.1
テーマパーク、レジャー施設で遊ぶ,渋谷,0.3
室内型アミューズメント施設で遊ぶ,渋谷,0.1
スポーツをする・観戦する,渋谷,0.1
スパ・エステ,渋谷,0.0
宿泊施設での滞在を楽しむ,渋谷,2.3
ナイトライフを楽しむ,渋谷,9.2
その他,渋谷,1.4
日本食を楽しむ,六本木・赤坂,22.1
日本食以外の料理を楽しむ,六本木・赤坂,1.8
電気製品のショッピング,六本木・赤坂,0.0
服・服飾雑貨のショッピング,六本木・赤坂,5.3
日用雑貨、化粧品、食品、菓子類のショッピング,六本木・赤坂,3.5
その他のショッピング,六本木・赤坂,2.5
伝統文化の見学,六本木・赤坂,0.7
伝統文化の体験,六本木・赤坂,0.0
伝統建築の見学,六本木・赤坂,1.4
最新の日本文化に触れる,六本木・赤坂,4.6
高層ビル、近代的な街並み・景観・建築物の探索,六本木・赤坂,14.4
美術館・博物館の探索,六本木・赤坂,4.9
ウォーターフロント、夜景などの探索,六本木・赤坂,2.1
自然を感じる,六本木・赤坂,0.7
テーマパーク、レジャー施設で遊ぶ,六本木・赤坂,0.4
室内型アミューズメント施設で遊ぶ,六本木・赤坂,0.7
スポーツをする・観戦する,六本木・赤坂,0.0
スパ・エステ,六本木・赤坂,1.1
宿泊施設での滞在を楽しむ,六本木・赤坂,4.6
ナイトライフを楽しむ,六本木・赤坂,20.7
その他,六本木・赤坂,8.8
日本食を楽しむ,新宿・大久保,16.4
日本食以外の料理を楽しむ,新宿・大久保,1.3
電気製品のショッピング,新宿・大久保,5.7
服・服飾雑貨のショッピング,新宿・大久保,17.3
日用雑貨、化粧品、食品、菓子類のショッピング,新宿・大久保,17.5
その他のショッピング,新宿・大久保,4.7
伝統文化の見学,新宿・大久保,0.4
伝統文化の体験,新宿・大久保,0.3
伝統建築の見学,新宿・大久保,1.0
最新の日本文化に触れる,新宿・大久保,1.5
高層ビル、近代的な街並み・景観・建築物の探索,新宿・大久保,10.8
美術館・博物館の探索,新宿・大久保,0.2
ウォーターフロント、夜景などの探索,新宿・大久保,0.4
自然を感じる,新宿・大久保,1.1
テーマパーク、レジャー施設で遊ぶ,新宿・大久保,0.2
室内型アミューズメント施設で遊ぶ,新宿・大久保,0.8
スポーツをする・観戦する,新宿・大久保,0.3
スパ・エステ,新宿・大久保,0.4
宿泊施設での滞在を楽しむ,新宿・大久保,10.9
ナイトライフを楽しむ,新宿・大久保,6.3
その他,新宿・大久保,2.5
日本食を楽しむ,恵比寿・代官山,16.1
日本食以外の料理を楽しむ,恵比寿・代官山,3.4
電気製品のショッピング,恵比寿・代官山,2.3
服・服飾雑貨のショッピング,恵比寿・代官山,21.8
日用雑貨、化粧品、食品、菓子類のショッピング,恵比寿・代官山,6.9
その他のショッピング,恵比寿・代官山,10.3
伝統文化の見学,恵比寿・代官山,1.1
伝統文化の体験,恵比寿・代官山,2.3
伝統建築の見学,恵比寿・代官山,4.6
最新の日本文化に触れる,恵比寿・代官山,1.1
高層ビル、近代的な街並み・景観・建築物の探索,恵比寿・代官山,12.6
美術館・博物館の探索,恵比寿・代官山,1.1
ウォーターフロント、夜景などの探索,恵比寿・代官山,1.1
自然を感じる,恵比寿・代官山,0.0
テーマパーク、レジャー施設で遊ぶ,恵比寿・代官山,0.0
室内型アミューズメント施設で遊ぶ,恵比寿・代官山,0.0
スポーツをする・観戦する,恵比寿・代官山,0.0
スパ・エステ,恵比寿・代官山,0.0
宿泊施設での滞在を楽しむ,恵比寿・代官山,3.4
ナイトライフを楽しむ,恵比寿・代官山,5.7
その他,恵比寿・代官山,5.7
日本食を楽しむ,池袋,14.0
日本食以外の料理を楽しむ,池袋,1.0
電気製品のショッピング,池袋,4.5
服・服飾雑貨のショッピング,池袋,18.0
日用雑貨、化粧品、食品、菓子類のショッピング,池袋,18.5
その他のショッピング,池袋,12.5
伝統文化の見学,池袋,0.5
伝統文化の体験,池袋,0.0
伝統建築の見学,池袋,1.0
最新の日本文化に触れる,池袋,10.5
高層ビル、近代的な街並み・景観・建築物の探索,池袋,5.5
美術館・博物館の探索,池袋,1.0
ウォーターフロント、夜景などの探索,池袋,0.0
自然を感じる,池袋,0.0
テーマパーク、レジャー施設で遊ぶ,池袋,1.0
室内型アミューズメント施設で遊ぶ,池袋,1.0
スポーツをする・観戦する,池袋,0.0
スパ・エステ,池袋,0.5
宿泊施設での滞在を楽しむ,池袋,8.5
ナイトライフを楽しむ,池袋,0.5
その他,池袋,1.5
日本食を楽しむ,上野,11.1
日本食以外の料理を楽しむ,上野,0.4
電気製品のショッピング,上野,1.4
服・服飾雑貨のショッピング,上野,6.7
日用雑貨、化粧品、食品、菓子類のショッピング,上野,14.5
その他のショッピング,上野,3.8
伝統文化の見学,上野,1.0
伝統文化の体験,上野,0.6
伝統建築の見学,上野,10.7
最新の日本文化に触れる,上野,0.6
高層ビル、近代的な街並み・景観・建築物の探索,上野,6.9
美術館・博物館の探索,上野,14.7
ウォーターフロント、夜景などの探索,上野,0.4
自然を感じる,上野,6.7
テーマパーク、レジャー施設で遊ぶ,上野,12.3
室内型アミューズメント施設で遊ぶ,上野,0.2
スポーツをする・観戦する,上野,0.0
スパ・エステ,上野,0.0
宿泊施設での滞在を楽しむ,上野,4.8
ナイトライフを楽しむ,上野,0.0
その他,上野,3.0
日本食を楽しむ,浅草,5.0
日本食以外の料理を楽しむ,浅草,0.5
電気製品のショッピング,浅草,0.1
服・服飾雑貨のショッピング,浅草,2.0
日用雑貨、化粧品、食品、菓子類のショッピング,浅草,2.3
その他のショッピング,浅草,1.5
伝統文化の見学,浅草,3.6
伝統文化の体験,浅草,1.9
伝統建築の見学,浅草,71.1
最新の日本文化に触れる,浅草,1.2
高層ビル、近代的な街並み・景観・建築物の探索,浅草,6.5
美術館・博物館の探索,浅草,0.5
ウォーターフロント、夜景などの探索,浅草,0.1
自然を感じる,浅草,1.1
テーマパーク、レジャー施設で遊ぶ,浅草,0.3
室内型アミューズメント施設で遊ぶ,浅草,0.2
スポーツをする・観戦する,浅草,0.0
スパ・エステ,浅草,0.0
宿泊施設での滞在を楽しむ,浅草,1.4
ナイトライフを楽しむ,浅草,0.3
その他,浅草,0.4
日本食を楽しむ,墨田・両国,2.0
日本食以外の料理を楽しむ,墨田・両国,0.0
電気製品のショッピング,墨田・両国,0.0
服・服飾雑貨のショッピング,墨田・両国,0.0
日用雑貨、化粧品、食品、菓子類のショッピング,墨田・両国,0.0
その他のショッピング,墨田・両国,0.0
伝統文化の見学,墨田・両国,13.9
伝統文化の体験,墨田・両国,1.0
伝統建築の見学,墨田・両国,5.0
最新の日本文化に触れる,墨田・両国,0.0
高層ビル、近代的な街並み・景観・建築物の探索,墨田・両国,59.4
美術館・博物館の探索,墨田・両国,6.9
ウォーターフロント、夜景などの探索,墨田・両国,4.0
自然を感じる,墨田・両国,1.0
テーマパーク、レジャー施設で遊ぶ,墨田・両国,0.0
室内型アミューズメント施設で遊ぶ,墨田・両国,0.0
スポーツをする・観戦する,墨田・両国,2.0
スパ・エステ,墨田・両国,0.0
宿泊施設での滞在を楽しむ,墨田・両国,2.0
ナイトライフを楽しむ,墨田・両国,1.0
その他,墨田・両国,2.0
日本食を楽しむ,新橋・汐留,22.5
日本食以外の料理を楽しむ,新橋・汐留,0.0
電気製品のショッピング,新橋・汐留,0.0
服・服飾雑貨のショッピング,新橋・汐留,0.0
日用雑貨、化粧品、食品、菓子類のショッピング,新橋・汐留,4.2
その他のショッピング,新橋・汐留,7.0
伝統文化の見学,新橋・汐留,1.4
伝統文化の体験,新橋・汐留,0.0
伝統建築の見学,新橋・汐留,2.8
最新の日本文化に触れる,新橋・汐留,1.4
高層ビル、近代的な街並み・景観・建築物の探索,新橋・汐留,21.1
美術館・博物館の探索,新橋・汐留,1.4
ウォーターフロント、夜景などの探索,新橋・汐留,5.6
自然を感じる,新橋・汐留,1.4
テーマパーク、レジャー施設で遊ぶ,新橋・汐留,0.0
室内型アミューズメント施設で遊ぶ,新橋・汐留,0.0
スポーツをする・観戦する,新橋・汐留,0.0
スパ・エステ,新橋・汐留,1.4
宿泊施設での滞在を楽しむ,新橋・汐留,16.9
ナイトライフを楽しむ,新橋・汐留,0.0
その他,新橋・汐留,12.7
日本食を楽しむ,品川,29.0
日本食以外の料理を楽しむ,品川,1.9
電気製品のショッピング,品川,0.0
服・服飾雑貨のショッピング,品川,3.7
日用雑貨、化粧品、食品、菓子類のショッピング,品川,6.5
その他のショッピング,品川,0.0
伝統文化の見学,品川,0.0
伝統文化の体験,品川,0.0
伝統建築の見学,品川,1.9
最新の日本文化に触れる,品川,0.0
高層ビル、近代的な街並み・景観・建築物の探索,品川,9.3
美術館・博物館の探索,品川,0.9
ウォーターフロント、夜景などの探索,品川,0.0
自然を感じる,品川,0.0
テーマパーク、レジャー施設で遊ぶ,品川,2.8
室内型アミューズメント施設で遊ぶ,品川,0.0
スポーツをする・観戦する,品川,0.0
スパ・エステ,品川,1.9
宿泊施設での滞在を楽しむ,品川,16.8
ナイトライフを楽しむ,品川,3.7
その他,品川,21.5
日本食を楽しむ,蒲田,38.5
日本食以外の料理を楽しむ,蒲田,7.7
電気製品のショッピング,蒲田,0.0
服・服飾雑貨のショッピング,蒲田,15.4
日用雑貨、化粧品、食品、菓子類のショッピング,蒲田,0.0
その他のショッピング,蒲田,0.0
伝統文化の見学,蒲田,0.0
伝統文化の体験,蒲田,0.0
伝統建築の見学,蒲田,0.0
最新の日本文化に触れる,蒲田,0.0
高層ビル、近代的な街並み・景観・建築物の探索,蒲田,0.0
美術館・博物館の探索,蒲田,0.0
ウォーターフロント、夜景などの探索,蒲田,0.0
自然を感じる,蒲田,0.0
テーマパーク、レジャー施設で遊ぶ,蒲田,0.0
室内型アミューズメント施設で遊ぶ,蒲田,0.0
スポーツをする・観戦する,蒲田,0.0
スパ・エステ,蒲田,0.0
宿泊施設での滞在を楽しむ,蒲田,23.1
ナイトライフを楽しむ,蒲田,0.0
その他,蒲田,15.4
日本食を楽しむ,.お台場・東京湾,4.4
日本食以外の料理を楽しむ,.お台場・東京湾,0.3
電気製品のショッピング,.お台場・東京湾,0.6
服・服飾雑貨のショッピング,.お台場・東京湾,9.6
日用雑貨、化粧品、食品、菓子類のショッピング,.お台場・東京湾,7.4
その他のショッピング,.お台場・東京湾,2.0
伝統文化の見学,.お台場・東京湾,0.4
伝統文化の体験,.お台場・東京湾,0.6
伝統建築の見学,.お台場・東京湾,0.4
最新の日本文化に触れる,.お台場・東京湾,1.6
高層ビル、近代的な街並み・景観・建築物の探索,.お台場・東京湾,7.4
美術館・博物館の探索,.お台場・東京湾,1.1
ウォーターフロント、夜景などの探索,.お台場・東京湾,34.2
自然を感じる,.お台場・東京湾,2.4
テーマパーク、レジャー施設で遊ぶ,.お台場・東京湾,15.6
室内型アミューズメント施設で遊ぶ,.お台場・東京湾,0.6
スポーツをする・観戦する,.お台場・東京湾,0.0
スパ・エステ,.お台場・東京湾,1.7
宿泊施設での滞在を楽しむ,.お台場・東京湾,3.5
ナイトライフを楽しむ,.お台場・東京湾,0.3
その他,.お台場・東京湾,6.1
日本食を楽しむ,吉祥寺・三鷹,6.3
日本食以外の料理を楽しむ,吉祥寺・三鷹,0.0
電気製品のショッピング,吉祥寺・三鷹,0.0
服・服飾雑貨のショッピング,吉祥寺・三鷹,6.3
日用雑貨、化粧品、食品、菓子類のショッピング,吉祥寺・三鷹,4.8
その他のショッピング,吉祥寺・三鷹,2.4
伝統文化の見学,吉祥寺・三鷹,1.6
伝統文化の体験,吉祥寺・三鷹,0.0
伝統建築の見学,吉祥寺・三鷹,3.2
最新の日本文化に触れる,吉祥寺・三鷹,6.3
高層ビル、近代的な街並み・景観・建築物の探索,吉祥寺・三鷹,5.6
美術館・博物館の探索,吉祥寺・三鷹,51.6
ウォーターフロント、夜景などの探索,吉祥寺・三鷹,0.0
自然を感じる,吉祥寺・三鷹,7.1
テーマパーク、レジャー施設で遊ぶ,吉祥寺・三鷹,0.0
室内型アミューズメント施設で遊ぶ,吉祥寺・三鷹,0.8
スポーツをする・観戦する,吉祥寺・三鷹,0.0
スパ・エステ,吉祥寺・三鷹,0.0
宿泊施設での滞在を楽しむ,吉祥寺・三鷹,0.8
ナイトライフを楽しむ,吉祥寺・三鷹,0.0
その他,吉祥寺・三鷹,3.2
日本食を楽しむ,八王子・高尾山,5.9
日本食以外の料理を楽しむ,八王子・高尾山,1.2
電気製品のショッピング,八王子・高尾山,0.0
服・服飾雑貨のショッピング,八王子・高尾山,2.4
日用雑貨、化粧品、食品、菓子類のショッピング,八王子・高尾山,0.0
その他のショッピング,八王子・高尾山,0.0
伝統文化の見学,八王子・高尾山,3.5
伝統文化の体験,八王子・高尾山,1.2
伝統建築の見学,八王子・高尾山,10.6
最新の日本文化に触れる,八王子・高尾山,0.0
高層ビル、近代的な街並み・景観・建築物の探索,八王子・高尾山,3.5
美術館・博物館の探索,八王子・高尾山,3.5
ウォーターフロント、夜景などの探索,八王子・高尾山,1.2
自然を感じる,八王子・高尾山,56.5
テーマパーク、レジャー施設で遊ぶ,八王子・高尾山,1.2
室内型アミューズメント施設で遊ぶ,八王子・高尾山,1.2
スポーツをする・観戦する,八王子・高尾山,1.2
スパ・エステ,八王子・高尾山,0.0
宿泊施設での滞在を楽しむ,八王子・高尾山,2.4
ナイトライフを楽しむ,八王子・高尾山,0.0
その他,八王子・高尾山,4.7
日本食を楽しむ,伊豆諸島・小笠原諸島,7.7
日本食以外の料理を楽しむ,伊豆諸島・小笠原諸島,0.0
電気製品のショッピング,伊豆諸島・小笠原諸島,0.0
服・服飾雑貨のショッピング,伊豆諸島・小笠原諸島,0.0
日用雑貨、化粧品、食品、菓子類のショッピング,伊豆諸島・小笠原諸島,0.0
その他のショッピング,伊豆諸島・小笠原諸島,0.0
伝統文化の見学,伊豆諸島・小笠原諸島,0.0
伝統文化の体験,伊豆諸島・小笠原諸島,0.0
伝統建築の見学,伊豆諸島・小笠原諸島,3.8
最新の日本文化に触れる,伊豆諸島・小笠原諸島,0.0
高層ビル、近代的な街並み・景観・建築物の探索,伊豆諸島・小笠原諸島,3.8
美術館・博物館の探索,伊豆諸島・小笠原諸島,0.0
ウォーターフロント、夜景などの探索,伊豆諸島・小笠原諸島,7.7
自然を感じる,伊豆諸島・小笠原諸島,61.5
テーマパーク、レジャー施設で遊ぶ,伊豆諸島・小笠原諸島,0.0
室内型アミューズメント施設で遊ぶ,伊豆諸島・小笠原諸島,0.0
スポーツをする・観戦する,伊豆諸島・小笠原諸島,0.0
スパ・エステ,伊豆諸島・小笠原諸島,0.0
宿泊施設での滞在を楽しむ,伊豆諸島・小笠原諸島,11.5
ナイトライフを楽しむ,伊豆諸島・小笠原諸島,3.8
その他,伊豆諸島・小笠原諸島,0.0
日本食を楽しむ,その他,12.1
日本食以外の料理を楽しむ,その他,1.5
電気製品のショッピング,その他,0.0
服・服飾雑貨のショッピング,その他,10.6
日用雑貨、化粧品、食品、菓子類のショッピング,その他,6.1
その他のショッピング,その他,3.0
伝統文化の見学,その他,0.0
伝統文化の体験,その他,0.0
伝統建築の見学,その他,7.6
最新の日本文化に触れる,その他,4.5
高層ビル、近代的な街並み・景観・建築物の探索,その他,4.5
美術館・博物館の探索,その他,1.5
ウォーターフロント、夜景などの探索,その他,0.0
自然を感じる,その他,12.1
テーマパーク、レジャー施設で遊ぶ,その他,3.0
室内型アミューズメント施設で遊ぶ,その他,0.0
スポーツをする・観戦する,その他,3.0
スパ・エステ,その他,0.0
宿泊施設での滞在を楽しむ,その他,13.6
ナイトライフを楽しむ,その他,0.0
その他,その他,16.7
